CourseID,Section,Instructor,Type,Day,Time,Capacity,Building,Room
ACM498,1,Çelik,LEC,Cumartesi,10:00-12:00,3,BBBF,online
CYB303,1,Çelik,LAB,Cumartesi,13:00-16:00,55,Online,Online
ACM437,2,Demirağ,LAB,Çarşamba,16:00-19:00,50,BBBF,Sınıf
ACM111,6,Dube,LAB,Cuma,09:00-12:00,30,BBBF,Lab.306
ACM472,1,Özen,LAB,Çarşamba,09:00-12:00,40,BBBF,Lab.210
ACM112,1,Torun,LAB,Pazartesi,09:00-12:00,20,GSF,GSF.223
ACM476,1,Tüter,LAB,Çarşamba,13:00-16:00,35,BBBF,Lab.207
CIS111,1,Bingöl,LEC,Çarşamba,09:00-11:00,40,BBBF,Lab.210
CIS112,2,Bingöl,LEC,Çarşamba,12:00-14:00,40,BBBF,Lab.210
CIS114,3,Tufan,LEC,Çarşamba,14:00-16:00,40,BBBF,Lab.210
